Study,CPT,Intended Diagnosis,Sensitivity,Specificity,Positive Likelihood ratio,Negative Likelihood ratio,Cost,comments,,,,,,
PA and Lateral Chest Xray,73500,pneumonia,0.435,0.93,6.214285714,0.607526882,,,"CT scan as gold standard, all CXR included",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3556231/,,,,
PA and Lateral Chest Xray,73500,Lung Cancer,0.783,0.97,26.1,0.22371134,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2391122/,all cxr included,,,,
AP Chest Xray,73140,pneumonia,0.435,0.93,6.214285714,0.607526882,,,"CT scan as gold standard, all CXR included",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3556231/,,,,
Low Dose Ct chest,S8032,Lung Cancer,0.889,0.926,12.01351351,0.11987041,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2391122/,,,,,
AP Chest Xray,73140,Lung Cancer,0.783,0.97,26.1,0.22371134,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2391122/,all cxr included,,,,
KUB,74000,small bowel obstruction,0.69,0.57,1.604651163,0.543859649,,,https://www.ncbi.nlm.nih.gov/pubmed/8956576,,,,,
Knee Xray Standing,73565,arthritis,N/A,N/A,N/A,N/A,,,http://www.arthroscopyjournal.org/article/S0749-8063(14)00731-2/fulltext,,,,,
Mammography,g0202,breast cancer,0.678,0.75,2.712,0.429333333,,,http://emedicine.medscape.com/article/1945498-overview,,,,,
Ct Head,70450,cancer,N/A,N/A,N/A,N/A,,,http://www.auntminnieeurope.com/user/images/content_images/sup_cto/2009_04_01_15_40_26_595_dewever.resultsmiddle.jpg,,,,,
Ct Head,70450,stroke,0.42,0.91,4.666666667,0.637362637,,,on presentation,https://www.ncbi.nlm.nih.gov/pubmed/12147827,,,,
MRI Brain,70553,stroke,0.97,1,confirmed,0.03,,,"on presentation, using diffusion weighted MRI",https://www.ncbi.nlm.nih.gov/pubmed/12147827,,,,
Ct Chest,71275,pulmonary embolism,0.9,0.95,18,0.105263158,,,pioped 2,,,,,
V/Q Scan,78582,pulmonary embolism,0.774,0.977,33.65217391,0.231320368,,high pretest prob,https://www.ncbi.nlm.nih.gov/pubmed/18195380,,,,,
MRI Brain non con,70551,N/A,N/A,N/A,N/A,N/A,,,,,,,,
MRI brain with contrast,70552,N/A,N/A,N/A,N/A,N/A,,,,,,,,
MRI Brain with and without con,70553,N/A,N/A,N/A,N/A,N/A,,,,,,,,
cbc no diff,85027,N/A,N/A,N/A,N/A,N/A,,,,,,,,
complete blood count with automated iff,85025,N/A,N/A,N/A,N/A,N/A,,,,,,,,
cbc with manual diff,85004,N/A,N/A,N/A,N/A,N/A,,,,,,,,
basic metabolic panel,80048,N/A,N/A,N/A,N/A,N/A,,,,,,,,
magnesium,83735,N/A,N/A,N/A,N/A,N/A,,,,,,,,
phosphorus,84100,N/A,N/A,N/A,N/A,N/A,,,,,,,,
hemoglobin a1c,83036,diabetes,47,98,-0.484536082,-0.469387755,,against single fasting blood sugar 126,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005486/,,,,,
lipid panel,80061,hyperlipidemia,gold standard,gold standard,N/A,n,,,,,,,,
lipid panel,80061,hyperlipidemia,89.7,86.7,-1.046674446,-1.023068051,,nonfasting,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1495473/,,,,,
creatinine kinase,82550,N/A,N/A,N/A,N/A,N/A,,,,,,,,
AST,84450,acute liveri njury,0.91,0.95,18.2,0.094736842,,"acute injury, cut off 200",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545762/,,,,,
ALT,84460,acute liver injury,0.96,0.94,16,0.042553191,,"acute injury, cut off 300",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545762/,,,,,
alkaline phosphatase,84075,cholecystitis,0.45,0.62,1.184210526,0.887096774,,>120,http://jama.ama-assn.org/cgi/content/full/289/1/80,,,,,
thyroid stimulating hromone,84439,dysthroidism,N/A,N/A,N/A,N/A,,,,,,,,
free t4,84443,dysthroidism,N/A,N/A,N/A,N/A,,,,,,,,
iron,83540,N/A,N/A,N/A,N/A,N/A,,,,,,,,
tibc,83550,N/A,N/A,N/A,N/A,N/A,,,,,,,,
ferritin,82728,N/A,N/A,N/A,N/A,N/A,,,,,,,,
folate,82746,N/A,N/A,N/A,N/A,N/A,,,,,,,,
vitamin b12,82607,N/A,N/A,N/A,N/A,N/A,,,https://www.ncbi.nlm.nih.gov/pubmed/10875288,,,,,
prothombin time,85610,N/A,N/A,N/A,N/A,N/A,,,,,,,,
partial thromboplastin time,85730,N/A,N/A,N/A,N/A,N/A,,,,,,,,
protein c,85303,N/A,N/A,N/A,N/A,N/A,,,https://www.ncbi.nlm.nih.gov/pubmed/8701918,,,,,
protein s activity,85306,protein s deficiency,0.455,0.953,9.680851064,0.571878279,,,https://www.ncbi.nlm.nih.gov/pubmed/15583450,,,,,
d dimer,85379,pulmonary embolism,.8-1,.23-.63,N/A,N/A,,,http://www.cochrane.org/CD010864/PVD_d-dimer-excluding-pulmonary-embolism-hospital-outpatient-and-accident-and-emergency-populations,,,,,
c reactive protein,86140,osteomyelitis,0.85,0.83,5,0.180722892,,cutoff 14,https://www.ncbi.nlm.nih.gov/pubmed/23667102,,,,,
erythrocyte sedimentation rate,85652,osteomyelitis,0.84,0.75,3.36,0.213333333,,cutoff 67,https://www.ncbi.nlm.nih.gov/pubmed/23667102,,,,,
ana,86038,lupus,0.99,0.9,9.9,0.011111111,,,https://www.ncbi.nlm.nih.gov/pubmed/11925083,,,,,
erythrocyte sedimentation rate,85652,temporal arteritis,N/A,N/A,N/A,N/A,,,at different levels,,,,,
amylase,82150,pancreatitis,0.787,0.926,10.63513514,0.230021598,,114,smith 2005 paper,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1852619/table/i1536-5050-095-02-0121-t02/,,,
lipase,83690,pancreatitis,0.903,0.93,12.9,0.104301075,,208,smith 2005 paper,,,,,
hiv p24,87389,HIV,0.89,1,confirmed,0.11,,,https://www.ncbi.nlm.nih.gov/pubmed/11187417,,,,,
rapid hiv,86701,HIV,0.997,0.999,997,0.003003003,,,https://www.ncbi.nlm.nih.gov/pubmed/16868447,,,,,
hiv elisa,86703,HIV,1,0.974,38.46153846,0,,,https://www.ncbi.nlm.nih.gov/pubmed/11187417,,,,,
vdrl,86592,Syphilis,N/A,N/A,N/A,N/A,,,,,,,,
rpr,86592,Syphilis,N/A,N/A,N/A,N/A,,,,,,,,
